respondent_id,부서,직급,직종,근속연수,근무형태,응답일,자유응답_의견
R001,개발팀,대리,개발,3-5년,하이브리드,2026-06-01,평가 기준이 더 명확했으면 좋겠습니다 같은 업무를 해도 평가자마다 판단이 달라 불안합니다
R002,영업팀,과장,영업,6-10년,사무실,2026-06-01,성과급 산정 기준을 사전에 알려주면 좋겠습니다 결과를 받은 뒤에야 이유를 알게 되는 점이 아쉽습니다
R003,운영팀,사원,운영,1-2년,교대,2026-06-01,야근이 특정 인원에게 반복되는 느낌입니다 업무량 배분을 다시 봐야 합니다
R004,고객지원팀,사원,상담,1-2년,사무실,2026-06-01,고객 문의 시스템이 느려서 답변 시간이 길어집니다 검색 기능 개선이 필요합니다
R005,인사팀,과장,관리,6-10년,하이브리드,2026-06-02,교육 과정은 많지만 실제 업무에 바로 쓰기 어려운 내용이 있습니다 직무별 실습형 교육이 필요합니다
R006,마케팅팀,대리,기획,3-5년,하이브리드,2026-06-02,팀 간 정보 공유가 늦어 캠페인 일정이 밀리는 경우가 있습니다 회의록과 결정사항 공유가 필요합니다
R007,재무팀,차장,관리,10년 이상,사무실,2026-06-02,복지 포인트 사용처가 제한적입니다 구성원이 실제로 쓰는 항목을 확대하면 좋겠습니다
R008,개발팀,사원,개발,1-2년,원격,2026-06-02,코드 리뷰 문화는 도움이 됩니다 다만 리뷰 기준과 우선순위가 더 명확하면 좋겠습니다
R009,디자인팀,대리,디자인,3-5년,하이브리드,2026-06-03,프로젝트 초기에 요구사항이 자주 바뀌어 재작업이 많습니다 기획 확정 절차가 필요합니다
R010,영업팀,사원,영업,1-2년,외근,2026-06-03,성과 압박이 큰 편입니다 목표 설정 시 지역별 시장 상황을 함께 반영하면 좋겠습니다
R011,운영팀,과장,운영,6-10년,교대,2026-06-03,교대 근무표가 늦게 확정되어 개인 일정을 잡기 어렵습니다 최소 2주 전 확정이 필요합니다
R012,고객지원팀,대리,상담,3-5년,사무실,2026-06-03,상담 매뉴얼은 잘 정리되어 있지만 예외 상황 대응 기준이 부족합니다
R013,인사팀,사원,관리,1-2년,하이브리드,2026-06-04,신규 입사자 온보딩 자료가 흩어져 있습니다 한 곳에서 볼 수 있는 가이드가 필요합니다
R014,마케팅팀,과장,기획,6-10년,하이브리드,2026-06-04,의사결정권자가 많아 승인 시간이 오래 걸립니다 캠페인별 승인 라인을 단순화하면 좋겠습니다
R015,재무팀,대리,관리,3-5년,사무실,2026-06-04,월말 정산 기간에 업무가 몰립니다 자동화 가능한 반복 업무를 줄여야 합니다
R016,개발팀,과장,개발,6-10년,원격,2026-06-04,기술 성장 기회는 만족스럽습니다 다만 사내 기술 세미나가 정기적으로 운영되면 더 좋겠습니다
R017,디자인팀,사원,디자인,1-2년,하이브리드,2026-06-05,디자인 툴 라이선스와 협업 도구가 부족할 때가 있습니다 필요한 도구 신청 절차가 빨라지면 좋겠습니다
R018,영업팀,차장,영업,10년 이상,외근,2026-06-05,우수 사례 공유가 더 자주 있으면 좋겠습니다 성공 사례를 팀별로만 알고 끝나는 경우가 많습니다
R019,운영팀,대리,운영,3-5년,교대,2026-06-05,설비 점검 체크리스트가 종이로 관리되어 누락 위험이 있습니다 모바일 점검표가 필요합니다
R020,고객지원팀,과장,상담,6-10년,사무실,2026-06-05,감정 노동 이후 회복 지원이 부족합니다 어려운 상담 이후 짧은 휴식 제도가 필요합니다
R021,인사팀,차장,관리,10년 이상,하이브리드,2026-06-06,승진 기준과 역량 단계가 더 투명하면 좋겠습니다 구성원이 준비할 방향을 알기 어렵습니다
R022,마케팅팀,사원,기획,1-2년,원격,2026-06-06,원격 근무 시 업무 공유는 잘 되지만 신규 구성원은 맥락을 파악하기 어렵습니다
R023,재무팀,사원,관리,1-2년,사무실,2026-06-06,결재 시스템 화면이 복잡합니다 처음 사용하는 사람도 이해하기 쉽게 개선이 필요합니다
R024,개발팀,차장,개발,10년 이상,하이브리드,2026-06-06,장기 기술 부채를 해결할 시간이 부족합니다 단기 일정과 품질 개선 시간을 분리해야 합니다
R025,디자인팀,과장,디자인,6-10년,하이브리드,2026-06-07,브랜드 가이드가 최신 제품 화면과 맞지 않는 부분이 있습니다 정기 업데이트가 필요합니다
R026,영업팀,대리,영업,3-5년,외근,2026-06-07,외근 교통비 처리 절차가 번거롭습니다 모바일 영수증 제출이 더 간단해지면 좋겠습니다
